F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
58.707,85.9979,60.0715,78.59,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-23-13-01-33
57.8736,81.4985,59.0549,73.68,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,1,100,2023-04-23-13-10-40
60.2267,82.6453,61.3476,75.74,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,2,100,2023-04-23-13-18-12
58.8361,83.8425,60.0865,76.64,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,3,100,2023-04-23-13-27-33
63.7358,85.0185,64.8,78.01,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,4,100,2023-04-23-13-36-12
54.8126,85.7043,56.3572,78.11,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-23-13-45-43
50.2326,79.5626,51.6991,70.73,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,6,100,2023-04-23-13-59-15
51.9998,84.9325,53.6464,76.58,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,7,100,2023-04-23-14-11-20
57.178,85.0265,58.5704,77.43,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,8,100,2023-04-23-14-19-06
62.1543,86.1729,63.3552,79.06,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,9,100,2023-04-23-14-30-09
59.4507,73.3138,59.8062,68.51,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-23-14-46-24
64.6059,72.9351,64.8194,70.09,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,1,100,2023-04-23-15-05-05
63.6094,73.1161,63.8531,69.99,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,2,100,2023-04-23-15-30-48
60.4865,71.5285,60.7697,67.77,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,3,100,2023-04-23-15-51-24
65.8336,74.7309,66.0618,71.26,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,4,100,2023-04-23-16-10-27
59.635,74.9038,60.0265,69.67,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,5,100,2023-04-23-16-33-53
60.0184,76.7201,60.4466,71.62,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,6,100,2023-04-23-17-04-56
61.6077,72.1851,61.8789,67.62,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,7,100,2023-04-23-17-27-15
62.6597,74.1024,62.9531,70.57,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,8,100,2023-04-23-17-50-24
64.9087,68.7466,65.0071,66.51,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,9,100,2023-04-23-18-08-15
68.2712,57.0508,68.081,66.51,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,0,100,2023-04-23-18-37-48
68.1004,53.6913,67.8562,65.56,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,1,100,2023-04-23-19-21-25
