F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
53.6825,74.2044,54.7086,63.82,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-23-12-53-33
51.6259,71.0018,52.5947,61.6,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,1,100,2023-04-23-12-56-52
50.5916,67.9396,51.459,60.44,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,2,100,2023-04-23-13-00-10
54.1177,74.1738,55.1205,65.98,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,3,100,2023-04-23-13-03-41
58.3048,77.6471,59.272,69.57,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,4,100,2023-04-23-13-06-42
45.4109,72.0033,46.7405,61.81,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-23-13-10-48
47.58,67.77,48.5895,58.54,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,6,100,2023-04-23-13-14-18
42.2003,54.6169,42.8211,47.2,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,7,100,2023-04-23-13-18-31
45.0302,72.013,46.3793,61.5,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,8,100,2023-04-23-13-21-28
51.8701,73.3305,52.9431,64.24,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,9,100,2023-04-23-13-25-24
58.94,62.3669,59.0278,60.13,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-23-13-31-14
62.0972,58.4416,62.0035,60.07,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,1,100,2023-04-23-13-36-59
61.6304,65.704,61.7348,63.61,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,2,100,2023-04-23-13-43-42
59.6592,64.29,59.7779,62.18,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,3,100,2023-04-23-13-50-22
62.0079,59.8446,61.9525,60.5,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,4,100,2023-04-23-13-57-49
56.6077,63.1838,56.7763,60.28,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,5,100,2023-04-23-14-04-19
56.2718,58.6563,56.333,57.49,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,6,100,2023-04-23-14-10-23
58.7889,57.5269,58.7565,57.7,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,7,100,2023-04-23-14-17-25
60.0503,61.6677,60.0918,60.44,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,8,100,2023-04-23-14-22-40
62.6364,59.4629,62.555,60.34,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,9,100,2023-04-23-14-28-27
67.1317,55.0529,66.927,65.14,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,0,100,2023-04-23-14-37-45
66.5518,45.0563,66.1875,62.45,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,1,100,2023-04-23-14-48-16
63.9327,47.6605,63.6569,61.55,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,2,100,2023-04-23-14-58-52
65.1112,46.5423,64.7965,62.13,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,3,100,2023-04-23-15-09-50
66.0286,46.4363,65.6966,62.18,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,4,100,2023-04-23-15-21-10
66.3483,55.3484,66.1618,64.35,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,5,100,2023-04-23-15-33-59
64.6946,50.4961,64.454,61.87,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,6,100,2023-04-23-15-44-28
61.9438,46.2766,61.6782,60.07,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,7,100,2023-04-23-15-55-08
65.2729,47.8309,64.9773,62.13,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,8,100,2023-04-23-16-03-41
65.1716,39.1304,64.7302,60.34,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,9,100,2023-04-23-16-12-02
42.7791,88.5385,43.9524,80.23,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-23-16-14-16
46.3359,86.1264,47.3562,77.18,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,1,100,2023-04-23-16-16-27
47.3829,89.5456,48.464,81.55,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,2,100,2023-04-23-16-19-07
49.6426,87.5869,50.6155,79.71,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,3,100,2023-04-23-16-21-59
54.6093,91.6361,55.5587,85.27,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,4,100,2023-04-23-16-24-48
50.4549,90.0965,51.4713,83.2,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-23-16-27-13
