F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
72.0587,85.728,72.7421,79.74,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,0,100,2023-04-04-22-00-59
73.4471,85.769,74.0632,80.42,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2023-04-04-22-04-07
68.6185,83.0628,69.3407,77.18,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2023-04-04-22-07-12
71.6869,85.0024,72.3527,79.45,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,3,100,2023-04-04-22-10-29
67.8257,81.5764,68.5132,75.26,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,4,100,2023-04-04-22-13-55
72.0257,86.8359,72.7662,81.33,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,5,100,2023-04-04-22-17-10
68.4512,83.2328,69.1903,77.01,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,6,100,2023-04-04-22-21-58
68.4289,84.8806,69.2515,78.93,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,7,100,2023-04-04-22-24-43
70.0951,84.2484,70.8028,78.47,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,8,100,2023-04-04-22-27-21
71.5141,87.1855,72.2977,81.66,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,9,100,2023-04-04-22-30-25
81.8212,81.2674,81.807,80.84,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,0,100,2023-04-04-22-36-49
81.7871,77.417,81.675,78.67,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,1,100,2023-04-04-22-43-46
82.0834,79.6972,82.0222,79.94,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,2,100,2023-04-04-22-52-59
79.6053,78.3304,79.5726,78.34,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,3,100,2023-04-04-23-01-31
81.7821,79.2533,81.7173,79.48,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,4,100,2023-04-04-23-09-08
78.9982,81.0516,79.0509,79.45,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,5,100,2023-04-04-23-15-25
81.284,79.0633,81.227,79.29,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,6,100,2023-04-04-23-22-39
80.3389,77.179,80.2579,77.79,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,7,100,2023-04-04-23-28-29
82.4881,77.0721,82.3492,78.64,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,8,100,2023-04-04-23-35-19
82.285,80.6653,82.2435,80.81,banking,ADB,bert,0.5,1.0,CrossEntropyLoss,9,100,2023-04-04-23-42-27
86.4648,66.7132,86.13,81.3,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,0,100,2023-04-04-23-52-58
86.5243,67.2566,86.1978,81.53,banking,ADB,bert,0.75,1.0,CrossEntropyLoss,1,100,2023-04-05-00-05-51
