F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
55.0897,86.5263,56.6615,78.69,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-22-10-04-34
57.8624,82.8177,59.1102,75.32,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,1,100,2023-04-22-10-08-44
50.6604,83.5994,52.3073,76.11,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,2,100,2023-04-22-10-13-18
56.9142,83.7024,58.2536,76.16,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,3,100,2023-04-22-10-20-13
62.0747,84.8175,63.2118,77.74,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,4,100,2023-04-22-10-24-50
51.8091,85.3801,53.4876,77.37,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-22-10-30-32
47.8911,83.4938,49.6713,75.16,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,6,100,2023-04-22-10-36-16
47.6666,85.2553,49.546,76.58,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,7,100,2023-04-22-10-41-32
56.2855,85.7143,57.757,78.22,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,8,100,2023-04-22-10-46-17
59.5044,86.932,60.8757,79.75,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,9,100,2023-04-22-10-52-18
50.5442,73.1211,51.1231,66.51,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-22-11-03-13
59.4727,75.307,59.8787,70.83,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,1,100,2023-04-22-11-15-51
57.9796,75.0459,58.4172,70.04,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,2,100,2023-04-22-11-32-09
55.6739,72.2881,56.0999,67.25,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,3,100,2023-04-22-11-45-59
58.8892,73.8747,59.2735,69.15,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,4,100,2023-04-22-12-02-59
54.3092,74.0172,54.8145,68.09,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,5,100,2023-04-22-12-13-02
56.2473,77.6997,56.7973,71.99,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,6,100,2023-04-22-12-29-05
55.9905,74.2069,56.4576,68.04,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,7,100,2023-04-22-12-48-02
59.8794,76.6321,60.309,72.1,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,8,100,2023-04-22-13-00-00
61.6547,74.4828,61.9837,70.09,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,9,100,2023-04-22-13-13-48
55.2514,54.4884,55.2385,58.97,banking_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,0,100,2023-04-22-13-35-28
57.6864,50.9211,57.5718,58.18,banking_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,1,100,2023-04-22-13-54-20
55.2392,50.6024,55.1606,56.96,banking_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,2,100,2023-04-22-14-13-41
53.6839,46.9089,53.5691,54.17,banking_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,3,100,2023-04-22-14-43-40
53.9918,47.4293,53.8806,54.96,banking_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,4,100,2023-04-22-15-16-11
54.2988,54.0873,54.2952,57.81,banking_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,5,100,2023-04-22-15-34-36
53.1413,52.1525,53.1245,56.7,banking_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,6,100,2023-04-22-16-00-20
57.4097,52.709,57.33,58.91,banking_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,7,100,2023-04-22-16-30-43
56.9279,54.0741,56.8795,59.39,banking_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,8,100,2023-04-22-16-52-05
61.0838,52.5253,60.9388,60.6,banking_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,9,100,2023-04-22-17-08-00
38.42,92.3585,39.8031,86.43,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-22-17-14-23
42.4477,91.9731,43.7176,85.82,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,1,100,2023-04-22-17-18-47
41.8544,91.9195,43.1381,85.85,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,2,100,2023-04-22-17-23-43
46.461,91.0455,47.6042,84.75,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,3,100,2023-04-22-17-29-59
50.3357,92.7313,51.4227,87.47,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,4,100,2023-04-22-17-35-06
48.4062,92.226,49.5298,86.65,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-22-17-40-13
