F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
53.7032,86.9752,55.3668,78.06,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-22-09-59-54
57.0843,81.0726,58.2837,72.47,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,1,100,2023-04-22-10-03-52
55.9166,81.192,57.1804,73.58,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,2,100,2023-04-22-10-07-54
55.7301,82.6343,57.0753,74.47,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,3,100,2023-04-22-10-12-07
62.4578,83.4264,63.5062,75.79,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,4,100,2023-04-22-10-15-59
50.257,83.7109,51.9297,74.42,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-22-10-20-23
49.4278,77.9281,50.8528,68.78,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,6,100,2023-04-22-10-25-10
47.3677,84.0355,49.201,74.37,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,7,100,2023-04-22-10-29-25
55.1974,85.4027,56.7077,77.74,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,8,100,2023-04-22-10-33-23
60.0272,82.5509,61.1534,74.16,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,9,100,2023-04-22-10-37-07
53.4052,73.4613,53.9195,66.09,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-22-10-45-44
62.0715,73.6048,62.3673,69.3,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,1,100,2023-04-22-10-54-54
56.8658,64.5846,57.0638,60.6,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,2,100,2023-04-22-10-59-50
58.9982,70.9877,59.3056,66.09,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,3,100,2023-04-22-11-10-12
60.965,70.8571,61.2186,66.56,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,4,100,2023-04-22-11-21-44
57.5662,71.6757,57.928,65.24,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,5,100,2023-04-22-11-28-56
