F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
76.2018,89.6378,76.8736,84.71,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-06-14-45-02
76.8495,89.6995,77.492,84.87,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-06-15-16-18
75.2012,87.8583,75.834,82.73,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-06-15-25-42
77.6815,89.3929,78.267,84.81,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-06-15-32-09
78.0317,89.7201,78.6161,85.13,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-06-15-57-33
74.9649,89.2726,75.6803,84.03,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-07-14-18-18
75.1287,89.4725,75.8459,84.22,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-07-15-11-21
76.2337,89.4335,76.8937,84.38,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-07-15-50-34
75.8528,89.0745,76.5139,83.96,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-10-12-21-03
77.6226,89.8165,78.2323,85.13,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-11-13-12-41
76.8992,89.7631,77.5424,84.97,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-11-15-13-40
77.0278,89.6235,77.6576,84.84,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-11-18-52-36
75.9268,89.4725,76.6041,84.38,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-11-19-11-47
76.1628,89.4833,76.8288,84.55,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-11-19-42-35
76.6859,88.9556,77.2994,84.03,banking,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-17-14-40-24
50.3148,86.7898,52.1385,77.53,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-20-11-02-03
51.2918,86.1997,53.0372,78.27,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-20-11-17-50
51.2918,86.1997,53.0372,78.27,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-20-11-29-07
51.2918,86.1997,53.0372,78.27,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-20-11-38-02
55.0897,86.5263,56.6615,78.69,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-20-16-58-56
55.8508,86.4846,57.3825,78.9,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-20-17-13-34
56.2512,82.5845,57.5679,74.89,banking_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,1,100,2023-04-20-17-19-23
50.2077,72.1268,50.7698,65.77,banking_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-20-17-45-49
