F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
77.6815,89.3929,78.267,84.81,banking,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,0,100,2023-04-04-22-02-23
76.0243,86.0681,76.5265,80.84,banking,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,1,100,2023-04-04-22-06-23
68.8217,83.5999,69.5606,77.6,banking,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,2,100,2023-04-04-22-10-11
73.7423,87.5956,74.435,82.37,banking,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,3,100,2023-04-04-22-13-55
72.9378,85.1287,73.5474,79.55,banking,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,4,100,2023-04-04-22-17-21
72.2915,88.0696,73.0804,82.56,banking,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,5,100,2023-04-04-22-20-54
70.7661,85.8941,71.5225,80.13,banking,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,6,100,2023-04-04-22-25-04
71.1969,85.7819,71.9261,80.23,banking,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,7,100,2023-04-04-22-29-43
72.8683,85.4023,73.495,79.9,banking,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,8,100,2023-04-04-22-33-44
78.3694,91.9402,79.0479,87.79,banking,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,9,100,2023-04-04-22-37-43
83.023,82.8402,83.0183,82.37,banking,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,0,100,2023-04-04-22-54-33
82.9894,81.8548,82.9603,81.69,banking,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,1,100,2023-04-04-23-02-14
82.3809,79.9202,82.3178,80.03,banking,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,2,100,2023-04-04-23-14-49
81.1916,81.5521,81.2009,80.84,banking,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,3,100,2023-04-04-23-25-16
81.4847,79.9062,81.4442,79.68,banking,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,4,100,2023-04-04-23-35-11
80.3118,83.2533,80.3873,81.33,banking,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,5,100,2023-04-04-23-44-04
82.5266,82.9967,82.5386,82.08,banking,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,6,100,2023-04-04-23-55-38
81.0228,80.1877,81.0014,79.87,banking,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,7,100,2023-04-05-00-05-12
84.3249,83.3498,84.2999,83.21,banking,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,8,100,2023-04-05-00-15-11
83.8057,83.8689,83.8073,83.28,banking,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,9,100,2023-04-05-00-24-44
87.1642,74.9299,86.9569,83.67,banking,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,0,100,2023-04-05-00-51-13
86.454,69.5294,86.1671,81.72,banking,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,1,100,2023-04-05-01-16-02
85.4588,65.0147,85.1122,79.38,banking,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,2,100,2023-04-05-01-46-06
85.0485,65.8933,84.7239,79.45,banking,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,3,100,2023-04-05-02-06-19
84.9202,65.9453,84.5986,79.19,banking,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,4,100,2023-04-05-02-22-27
83.7444,69.6478,83.5055,79.68,banking,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,5,100,2023-04-05-02-37-39
85.8899,67.7175,85.5819,80.49,banking,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,6,100,2023-04-05-03-02-51
86.985,71.1844,86.7172,82.47,banking,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,7,100,2023-04-05-03-29-19
87.0944,71.3707,86.8279,82.6,banking,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,8,100,2023-04-05-03-54-50
87.182,72.4419,86.9322,83.08,banking,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,9,100,2023-04-05-04-20-05
78.5301,93.3002,78.9088,89.51,oos,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,0,100,2023-04-05-04-25-38
80.9289,94.3709,81.2736,91.14,oos,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,1,100,2023-04-05-04-29-05
83.2704,95.2168,83.5767,92.4,oos,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,2,100,2023-04-05-04-34-11
