F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
55.2946,63.1774,55.6888,56.33,banking_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,0,100,2023-04-21-17-06-46
52.4052,66.3927,53.1046,58.54,banking_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,1,100,2023-04-21-17-33-08
49.0241,51.6632,49.156,48.79,banking_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,2,100,2023-04-21-18-02-17
46.8597,48.1156,46.9225,45.09,banking_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,3,100,2023-04-21-18-28-53
51.406,56.6166,51.6665,51.11,banking_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,4,100,2023-04-21-18-55-10
42.5011,56.7308,43.2126,48.63,banking_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,5,100,2023-04-21-19-20-18
46.6457,63.4438,47.4856,55.22,banking_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,6,100,2023-04-21-19-43-10
48.1058,55.9724,48.4991,50.63,banking_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,7,100,2023-04-21-20-05-00
49.8781,59.2389,50.3462,51.69,banking_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,8,100,2023-04-21-20-25-47
45.6921,65.6065,46.6878,56.49,banking_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,9,100,2023-04-21-20-54-04
61.3985,56.724,61.2786,58.49,banking_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,0,100,2023-04-21-21-23-25
58.586,50.0686,58.3677,54.27,banking_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,1,100,2023-04-21-21-55-05
57.719,46.793,57.4388,51.58,banking_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,2,100,2023-04-21-22-25-06
55.716,46.3326,55.4754,51.42,banking_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,3,100,2023-04-21-23-00-53
57.75,60.5948,57.823,58.76,banking_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,4,100,2023-04-21-23-32-23
57.0758,50.3171,56.9025,53.96,banking_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,5,100,2023-04-22-00-07-17
55.4554,57.5,55.5078,56.54,banking_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,6,100,2023-04-22-00-43-11
58.9705,44.9307,58.6105,52.32,banking_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,7,100,2023-04-22-01-19-48
58.4028,51.268,58.2199,55.25,banking_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,8,100,2023-04-22-01-51-35
58.4515,48.4676,58.1955,52.93,banking_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,9,100,2023-04-22-02-35-18
64.4168,37.1986,63.9554,59.12,banking_cg,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,0,100,2023-04-22-03-16-02
59.1346,33.1053,58.6935,54.04,banking_cg,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,1,100,2023-04-22-04-24-50
60.1848,38.255,59.8131,54.8,banking_cg,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,2,100,2023-04-22-05-23-03
61.7309,29.5828,61.186,55.06,banking_cg,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,3,100,2023-04-22-06-06-12
60.8732,36.4362,60.4591,56.38,banking_cg,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,4,100,2023-04-22-06-48-35
61.1581,32.3714,60.6702,54.91,banking_cg,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,5,100,2023-04-22-07-39-20
61.0988,44.0237,60.8094,57.81,banking_cg,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,6,100,2023-04-22-08-24-17
62.6049,34.715,62.1322,56.7,banking_cg,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,7,100,2023-04-22-09-12-58
60.9099,34.2657,60.4583,54.64,banking_cg,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,8,100,2023-04-22-10-20-12
62.3546,34.3902,61.8806,56.28,banking_cg,DA-ADB,bert_disaware,0.75,1.0,CrossEntropyLoss,9,100,2023-04-22-11-15-35
46.2838,77.286,47.0787,65.9,oos_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,0,100,2023-04-22-12-23-17
52.2487,80.3301,52.9687,70.51,oos_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,1,100,2023-04-22-13-34-52
56.1371,79.8441,56.745,70.5,oos_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,2,100,2023-04-22-14-46-00
51.1193,77.0034,51.783,67.28,oos_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,3,100,2023-04-22-15-55-19
52.2233,80.3225,52.9437,71.21,oos_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,4,100,2023-04-22-16-53-55
51.1661,81.0378,51.9321,71.61,oos_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,5,100,2023-04-22-17-47-13
59.4592,83.2692,60.0698,75.47,oos_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,6,100,2023-04-22-18-36-34
50.8795,76.4962,51.5363,66.62,oos_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,7,100,2023-04-22-19-23-38
50.6062,77.6967,51.3008,67.68,oos_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,8,100,2023-04-22-20-15-15
52.3531,83.6377,53.1553,74.69,oos_cg,DA-ADB,bert_disaware,0.25,1.0,CrossEntropyLoss,9,100,2023-04-22-21-10-53
49.9115,73.5616,50.2227,63.49,oos_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,0,100,2023-04-24-22-14-26
57.4343,74.5648,57.6597,66.32,oos_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,1,100,2023-04-24-23-56-31
59.3531,76.5581,59.5795,69.25,oos_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,2,100,2023-04-25-01-30-04
62.1113,75.6413,62.2893,69.3,oos_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,3,100,2023-04-25-03-12-32
60.9488,74.8253,61.1314,67.81,oos_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,4,100,2023-04-25-05-00-31
59.3408,74.8117,59.5444,68.06,oos_cg,DA-ADB,bert_disaware,0.5,1.0,CrossEntropyLoss,8,100,2023-04-25-08-20-47
